smiles,logbb,name,source
CN=C(C[N+](=O)[O-])NCCCSC1=CC=C(O1)CN(C)C,-1.23,n-[3-[5-[(dimethylamino)methyl]furan-2-yl]sulfanylpropyl]-n'-methyl-2-nitroethanimidamide,B3DB(CC0)
CC(=O)OC1=C(C=C(C=C1)/C=C/C(=O)NCCC2=CC=CC=C2)OC(=O)C,-1.17,y12,B3DB(CC0)
CC1=CC=C(C=C1)/C(=C\CN2CCCC2)/C3=CC=CC(=N3)/C=C/C(=O)O,-1.14,acrivastine,B3DB(CC0)
CN(C)Cc1oc(CSCCNC2C([N+]([O-])=O)=CC=N2)cc1,-1.12,compound 35,B3DB(CC0)
CN(C)CCC1=CNC2=C1C=C(C=C2)CC3COC(=O)N3,-1.01,139264-82-7,B3DB(CC0)
CCC(C)C1C(CCC2(O1)CC3CC(O2)CC=C(C(C(C=CC=C4COC5C4(C(C=C(C5O)C)C(=O)O3)O)C)OC6CC(C(C(O6)C)OC7CC(C(C(O7)C)O)OC)OC)C)C,-1.0,ivermectin,B3DB(CC0)
CN1CC(=O)N2C(C1=O)CC3=C(C2C4=CC5=C(C=C4)OCO5)NC6=CC=CC=C36,-1.0,ac1nfq3w,B3DB(CC0)
C[C@@H]1CC(=CC(=O)[C@H]1C(=O)OC)NC2=CC(=CC=C2)[N+](=O)[O-],-1.0,dm-44,B3DB(CC0)
CC1=CC2=CC=CC=C2N1CCNC(=O)/C=C/C3=CC(=C(C=C3)OCCO)OCCO,-1.0,chembl3264225,B3DB(CC0)
O=[C@@](CNC(C)(C)C)[C@H](CC(CCCC3)C3C2)N2C[C@H](O)[C@@H](NC(C4=C(C)C(O)=CC=C4)=O)CSC1=CC=CC=C1,-0.93,nelfinavir,B3DB(CC0)
CCS(=O)(=O)C1=CC=C(C=C1)C2=C(C3=C(C=C2)C=C(C=C3)O)OC4=CC=C(C=C4)OCCN5CCCCC5,-0.92,chembl243790,B3DB(CC0)
C1CC(C[C@@H]1[C@@](C2=CC=CC=C2)(C(=O)NC3CCN(CC3)CC4=NC(=CC=C4)N)O)(F)F,-0.89,mk-0969,B3DB(CC0)
CC3CCN(CCC1CCN1S(=O)(=O)/C2=C/C(O)=C\CC2)CC3,-0.89,s118,B3DB(CC0)
C1=CC=C(C=C1)COC(=O)NCC2=CC=C(C=C2)C(=O)NC3=CC=CC=C3N,-0.85,chembl357268,B3DB(CC0)
CS(=O)(=O)C1=CC=C(C=C1)C2=C(C3=C(C=C2)C=C(C=C3)O)OC4=CC=C(C=C4)OCCN5CCCCC5,-0.81,ly2066948,B3DB(CC0)
CC(=C)C(=O)/C(=C/C(=O)O)/OC,-0.8,penicillic acid,B3DB(CC0)
CCN1N=C(N=N1)NC(=O)C2C3=CC=CC=C3OC4=CC=CC=C24,-0.8,compound 4b [pmid: 16099654],B3DB(CC0)
CN1CCN(CC1)CC2=CC=C(C=C2)NC3=NC=C(C(=N3)NC4=CC=CC=C4S(=O)(=O)N(C)C)Cl,-0.8,compound 13,B3DB(CC0)
CCC1C(=O)N(CC(=O)N(C(C(=O)NC(C(=O)N(C(C(=O)NC(C(=O)NC(C(=O)N(C(C(=O)N(C(C(=O)N(C(C(=O)N(C(C(=O)N1)C(C(C)/C=C/C)O)C)CC(C)C)C)CC(C)C)C)CC(C)C)C)C)C)CC(C)C)C)C(C)C)CC(C)C)C)C,-0.78,cyclosporine a,B3DB(CC0)
O=C1N([C@@H](C(N([C@@H](C(N[C@@H](C(N(C)CC(N([C@@H](C(N[C@@H](C(N([C@@H](C(N[C@@H](C(N[C@@H](C(N([C@@H](C(N([C@@H]1CC(C)C)C)=O)CC(C)C)C)=O)C)=O)C)=O)CC(C)C)C)=O)C(C)C)=O)CC(C)C)C)=O)=O)CC)=O)[C@@H]([C@H](C)/C=C/C)O)C)=O)CC(C)C)C,-0.78,cyclosporine a,B3DB(CC0)
CC[C@H]1C(=O)N(CC(=O)N([C@H](C(=O)N[C@H](C(=O)N([C@H](C(=O)N[C@H](C(=O)N[C@@H](C(=O)N([C@H](C(=O)N([C@H](C(=O)N([C@H](C(=O)N([C@H](C(=O)N1)[C@@H]([C@H](C)/C=C/C)O)C)CC(C)C)C)CC(C)C)C)CC(C)C)C)C)C)CC(C)C)C)C(C)C)CC(C)C)C)C,-0.78,cyclosporin a,B3DB(CC0)
CCC1C(=O)N(CC(=O)N(C(C(=O)NC(C(=O)N(C(C(=O)NC(C(=O)NC(C(=O)N(C(C(=O)N(C(C(=O)N(C(C(=O)N(C(C(=O)N1)C(C(C)CC=CC)O)C)C(C)C)C)CC(C)C)C)CC(C)C)C)C)C)CC(C)C)C)C(C)C)CC(C)C)C)C,-0.78,cyclosporin a,B3DB(CC0)
C1CCN(CC1)CCOC2=CC=C(C=C2)OC3=C(C=CC4=C3C=CC(=C4)O)C5=CC=C(C=C5)O,-0.77,chembl244000,B3DB(CC0)
c1cc(CSCCNc2cc(Cc3ccccc3)c[nH]2)oc1CN(C)C,-0.73,nan,B3DB(CC0)
CC1=CN(C(=O)NC1=O)C2CC(C(O2)CO)N[NH+]=[N-],-0.72,zidovudine,B3DB(CC0)
CC1=CN(C(=O)NC1=O)[C@@H]2C[C@@H]([C@@H](O2)CO)N=[N+]=[N-],-0.72,ncistruc1_000794,B3DB(CC0)
CCC1C(=O)N(CC(=O)N(C(C(=O)NC(C(=O)N(C(C(=O)NC(C(=O)NC(C(=O)N(C(C(=O)N(C(C(=O)N(C(C(=O)N(C(C(=O)N1)C(C(C)C/C=C/C)O)C)C(C)C)C)CC(C)C)C)CC(C)C)C)C)C)CC(C)C)C)C(C)C)CC(C)C)C)C,-0.7,cyclosporin a,B3DB(CC0)
CC(C)C1=NC(=CS1)CN(C)C(=O)NC(C(C)C)C(=O)NC(CC2=CC=CC=C2)CC(C(CC3=CC=CC=C3)NC(=O)OCC4=CN=CS4)O,-0.7,"n-[3-hydroxy-5-[[3-methyl-2-[[[methyl-[(2-propan-2-yl-4-thiazolyl)methyl]amino]-oxomethyl]amino]-1-oxobutyl]amino]-1,6-diphenylhexan-2-yl]carbamic acid 5-thiazolylmethyl ester",B3DB(CC0)
CC(C)[C@@](CCCN(C)CCC1=CC(=C(C=C1)OC)OC)(C#N)C2=CC(=C(C=C2)OC)OC,-0.7,dexverapamil,B3DB(CC0)
O=C2C/C=[N+](C1CC(F)C(CO)O1)\C(=O)N2,-0.69,s120,B3DB(CC0)
C1=NN(N=C1C(=O)N)C2C(C(C(O2)CO)O)O,-0.67,ribavirin,B3DB(CC0)
C1=C(C(=CC(=C1N)N)N)N.Cl.Cl.Cl.Cl,-0.67,y15,B3DB(CC0)
[O-][N+](C1=CC=NC1NCCSCc2ncccc2Br)=O,-0.67,compound 31,B3DB(CC0)
CC1=CC(=CC=C1)COC2=CC=CC(=C2)/C=C/3\C(=O)NN(C3=O)C4=CC=CC=C4,-0.66,y16,B3DB(CC0)
C1CN(CCC12C(CNC(=O)O2)C3=CC=CC=C3)C(=O)C4=CC(=CC(=C4)C(F)(F)F)C(F)(F)F,-0.66,schembl5010920,B3DB(CC0)
[O-][N+](C1=CC=NC1NCCSCc2ccccn2)=O,-0.66,compound 32,B3DB(CC0)
CCC(C)N1C(=O)N(C=N1)C2=CC=C(C=C2)N3CCN(CC3)C4=CC=C(C=C4)OCC5COC(O5)(CN6C=NC=N6)C7=C(C=C(C=C7)Cl)Cl,-0.64,itraconazole,B3DB(CC0)
CC(=O)CC1=CC=C(C=C1)C(=O)NC1=C(N)C=CC(=C1)C1=CC=CS1,-0.62,nan,B3DB(CC0)
CN1CC[C@]23[C@@H]4[C@@H](CC[C@]2(C1CC5=C3C(=C(C=C5)OC)O4)O)O,-0.6,"(4as,7r,7ar,12bs)-9-methoxy-3-methyl-1,2,4,5,6,7,7a,13-octahydro-4,12-methanobenzofuro[3,2-e]isoquinoline-4a,7-diol",B3DB(CC0)
CC1=NC(=C(C(=O)N1)[N+](=O)[O-])N2CCC3=CC=CC=C3CC2,-0.59,schembl6949469,B3DB(CC0)
C1CCN(C1)CCN2C=CC3=C2C=C(C=C3)NC(=O)CC4=CC=C(C=C4)OCC5=CC=CC=C5,-0.59,chembl2096766,B3DB(CC0)
CC(=O)NC1=CC=C(C=C1)C(=O)NC2=CC=CC=C2N,-0.58,tacedinaline,B3DB(CC0)
C1CCN(CC1)CCOC2=CC=C(C=C2)OC3=C(C=CC4=C3C=CC(=C4)O)C5=CC(=CC=C5)O,-0.57,chembl390020,B3DB(CC0)
O=C(NC([C@@H](O)C(O[C@H]1C[C@@](O)(C(OC(C2=CC=CC=C2)=O)[C@H]3[C@@]4(C)[C@@H](O)C[C@]5([H])C3(CO5)OC(C)=O)C(C)(C)C(C(OC(C)=O)C4=O)=C1C)=O)C6=CC=CC=C6)C7=CC=CC=C7,-0.55,paclitaxel,B3DB(CC0)
CN(C)[C@@H]1[C@@H]2C[C@@H]3CC4=C(C=CC(=C4C(=C3C(=O)[C@@]2(C(=C(C1=O)C(=O)N)O)O)O)O)N(C)C,-0.52,4-epiminocycline,B3DB(CC0)
CN(C)[C@H]1[C@@H]2C[C@@H]3CC4=C(C=CC(=C4C(=C3C(=O)[C@@]2(C(=C(C1=O)C(=O)N)O)O)O)O)N(C)C,-0.52,minocycline,B3DB(CC0)
CC1=CC2=CC=CC=C2N1CCNC(=O)/C=C/C3=CC(=C(C(=C3)OC)OC)OC,-0.52,tg4-155,B3DB(CC0)
C1CN(CCC1CC2=CC=C(C=C2)F)CCS(=O)C3=CC4=C(C=C3)NC(=O)O4,-0.52,besonprodil,B3DB(CC0)
C1=CC=C(C=C1)NC(=O)CCCCCNC(=O)CF,-0.51,faha,B3DB(CC0)
CC1=C(C(CCC1)(C)C)/C=C/C(=C/C=C/C(=C\C(=O)[O-])/C)/C,-0.49,isotretinoin (13-cis-retinoic acid),B3DB(CC0)
CC1=C(C(CCC1)(C)C)/C=C/C(=C/C=C/C(=C/C(=O)O)/C)/C,-0.49,tretinoin,B3DB(CC0)
CC(C)(C)NC(=O)[C@@]1([C@]2(N1C2=O)C3=CC=C(C=C3)OCC4=CC=C(C=C4)Cl)C5=C(NC6=C5C=CC(=C6)Cl)C(=O)O,-0.46,y30,B3DB(CC0)
CC1CN(CC1C2=NC3=C(C=NN3C4CCOCC4)C(=O)N2)CC5=NC=CC=N5,-0.4,pf-4447943,B3DB(CC0)
CC1=NC(=NO1)NC(=O)C2C3=CC=CC=C3OC4=CC=CC=C24,-0.4,compound 3a [pmid: 16099654],B3DB(CC0)
CC(C)(C)/[N+](=C/C1=CC=[N+](C=C1)[O-])/[O-],-0.38,alpha-(4-pyridyl-1-oxide)-n-tert-butylnitrone,B3DB(CC0)
CN(C)S(=O)(=O)C1=CC=C(C=C1)C2=C(C3=C(C=C2)C=C(C=C3)O)OC4=CC=C(C=C4)OCCN5CCCCC5,-0.37,chembl243571,B3DB(CC0)
CC(=O)O[C@H]1CC2=CC=CC=C2[C@H](C3=CC=CC=C13)C(=O)N,-0.34,"[(2r,9s)-2-carbamoyl-9-tricyclo[9.4.0.03,8]pentadeca-1(15),3,5,7,11,13-hexaenyl] acetate",B3DB(CC0)
NC(=O)[C@H]1C2=CC=CC=C2[C@H]2O[C@H]2C2=C1C=CC=C2,-0.34,nan,B3DB(CC0)
CN1[C@@H](CCC1=O)C2=CN=CC=C2,-0.32,cotinine,B3DB(CC0)
CC1=C2C(C(=O)C3(C(CC4C(C3C(C(C2(C)C)(CC1OC(=O)C(C(C5=CC=CC=C5)NC(=O)C6=CC=CC=C6)O)O)OC(=O)C7=CC=CC=C7)(CO4)OC(=O)C)O)C)OC(=O)C,-0.3,paclitaxel,B3DB(CC0)
c1(C(C)C)onc(c4ncn2c4CNC(c3c2cccc3Cl)=O)n1,-0.3,nan,B3DB(CC0)
C1C(=NC2=C(C=C(C=C2)C3=CC=CC=C3F)NC1=O)C4=CC(=NC=C4)C#N,-0.3,schembl5869149,B3DB(CC0)
CN1C2=NC=NC2C(=O)N(C1=O)C,-0.29,theophylline,B3DB(CC0)
CN1C2C(C(=O)N(C1=O)C)NC=N2,-0.29,"1,3-dimethyl-5,7-dihydro-4h-purine-2,6-dione",B3DB(CC0)
CN(C)Cc1ccnc(c2cccc(NC3C([N+]([O-])=O)=CC=N3)c2)c1,-0.28,compound 38,B3DB(CC0)
C1=CC(CN(C)C)=CC(C2=CC=CC(NC3NC=CC3N(=O)=O)=C2)=N1,-0.28,bbcpd19 (ranitidine analog),B3DB(CC0)
CN(C)Cc1ccc(c2cccc(NC3C([N+]([O-])=O)=CC=N3)c2)o1,-0.27,compound 37,B3DB(CC0)
CN1CN(C2(C1=O)CCN(CC2)CCCC(=O)C3=CC=C(S3)[123I])C4=CC=CC=C4,-0.25,"8-[4-(5-(123i)iodanylthiophen-2-yl)-4-oxobutyl]-3-methyl-1-phenyl-1,3,8-triazaspiro[4.5]decan-4-one",B3DB(CC0)
C1=CC=C(C=C1)C(=O)N,-0.24,benzamide,B3DB(CC0)
CO[C@H]1CNCC[C@H]1NC(=O)C2=CC(=C(C=C2OC)N)Cl,-0.22,ticalopride,B3DB(CC0)
C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2[C@H](C[C@]4([C@H]3CC[C@@]4(C(=O)CO)O)C)O,-0.22,cortisol,B3DB(CC0)
C1CC1NC2=C3C(=NC(=N2)N)N(C=N3)[C@@H]4C[C@@H](C=C4)CO,-0.22,abacavir,B3DB(CC0)
C(C(CO)O)O,-0.21,glycerol,B3DB(CC0)
C1=CC(=C(C=C1Cl)Cl)C(CN2C=CN=C2)OCC3=C(SC=C3)Cl,-0.2,tz-3,B3DB(CC0)
C1=CC=C(C=C1)CCNN,-0.2,phenelzine,B3DB(CC0)
C[C@H](C1=CC=C(C=C1)CC(C)C)C(=O)O,-0.18,(r)-(-)-ibuprofen,B3DB(CC0)
CCC(=O)N[C@H]1C(=NC[C@@H]([C@@H]([C@@H](CO)O)O)O)NC(=O)NC1=O,-0.18,y19,B3DB(CC0)
C[C@]12C[C@@H]([C@H]3[C@H]([C@@H]1CC[C@@]2(C(=O)CO)O)CCC4=CC(=O)C=C[C@]34C)O,-0.18,prednisolone,B3DB(CC0)
C=CCC1=C(C(=CC=C1)/C=N\NC(=O)CN2CCN(CC2)CC3=CC=CC=C3)O,-0.17,pac-1,B3DB(CC0)
CC(C(=O)O)N,-0.17,dl-alanine,B3DB(CC0)
C[C@@H]1CC(=CC(=O)[C@H]1C(=O)OC)NC2=CC(=CC=C2)OC(F)(F)F,-0.17,"methyl (1s,6r)-6-methyl-2-oxo-4-[3-(trifluoromethoxy)anilino]cyclohex-3-ene-1-carboxylate",B3DB(CC0)
CN1C2=C(C=CC(=C2)[C@H](C3=CC=C(C=C3)Cl)N4C=NC=N4)N=N1,-0.16,vorozole,B3DB(CC0)
ClC1=CC=C2N=C(CC(=O)NC2=C1)C1=C(C=CS1)C#N,-0.14,nan,B3DB(CC0)
CC(C)NCCCOC1=CC(CN2CCCCC2)=CC=C1,-0.13,nan,B3DB(CC0)
CC(C)N1N=C(N=N1)NC(=O)C2C3=CC=CC=C3OC4=CC=CC=C24,-0.12,"9h-xanthene-9-carboxamide, n-[2-(1-methylethyl)-2h-tetrazol-5-yl]-",B3DB(CC0)
CN1C[C@@H](CC1=O)CCN2C3=C(C4=CC=CC=C42)C(=O)NCC3,-0.12,y17,B3DB(CC0)
CN(C)C1CCN(CC2=CC=C(C=C2)C(=O)NC2=C(N)C=CC(=C2)C2=CC=CC=C2)CC1,-0.11,nan,B3DB(CC0)
CC1=NC=CC(=C1)C2=CC3=NC(=NN3C(=C2)N)C4=CC=CC=N4,-0.1,schembl7481790,B3DB(CC0)
CC1CC(C(C(/C=C(\C(C(/C=C\C=C(/C(=O)NC2=CC(=O)C(=C(C1)C2=O)NCCN(C)C)\C)OC)OC(=O)N)/C)C)O)OC,-0.09,17-(dimethylaminoethylamino)-17-demethoxygeldamycin,B3DB(CC0)
C1C=2C(C(NC(/C(C)=C/C=C\[C@@H]([C@H](/C(=C/[C@@H](C)[C@@H]([C@H](OC)C[C@H]1C)O)C)OC(=O)N)OC)=O)=CC(C2NCCN(C)C)=O)=O,-0.09,17-(dimethylaminoethylamino)-17-demethoxygeldamycin,B3DB(CC0)
Cn4nc(CC(=O)NC1CC[N+]2(C)CCCC1C2)c3ccccc34,-0.08,s121,B3DB(CC0)
CC1CCN(CCC2CCN2S(=O)(=O)C2=CC=CC(O)=C2)CC1,-0.08,s118,B3DB(CC0)
COC1=C(C2=C(C[C@@H]3C4=CC(=C(C=C4CCN3C2)OC)OC)C=C1)OC,-0.07,(+)-tetrahydropalmatine,B3DB(CC0)
CN1C=C(C(=N1)C2=CC=C(C=C2)OCC3=NC4=CC=CC=C4C=C3)C5=CC=NC=C5,-0.06,pf-2545920,B3DB(CC0)
CN1C=NC2C1C(=O)N(C(=O)N2C)C,-0.06,"1,3,7-trimethylxanthine, tms",B3DB(CC0)
CNCC1=CC=C(C=C1)C(=O)NC1=C(N)C=CC(=C1)C1=CC=CC=C1,-0.05,nan,B3DB(CC0)
CC2/C=[N+](C1CC(N=[N+]=N)C(CO)O1)\C(=O)NC2=O,-0.05,s122,B3DB(CC0)
CN1CCCC11CCN(CC2=CC=C(C=C2)C(=O)NC2=C(N)C=CC(=C2)C2=CC=CC=C2)CC1,-0.03,nan,B3DB(CC0)
CCN1CN(C2(C1=O)CCN(CC2)CCCC(=O)C3=CC=C(C=C3)F)C4=CC=CC=C4,-0.01,chembl136942,B3DB(CC0)
C[C@H]1[C@H]([C@H](C[C@@H](O1)O[C@H]2C[C@@](CC3=C2C(=C4C(=C3O)C(=O)C5=CC=CC=C5C4=O)O)(C(=O)C)O)N)O,0.0,dm5,B3DB(CC0)
CC(C)CC(C(=O)O)N,0.0,leucine,B3DB(CC0)
NC1=NC(COC2=NC=CC=C2)=C(C#N)C(=N1)C1=CC=CO1,0.0,nan,B3DB(CC0)
C1CN(CCC2=CC=CC=C21)C3=C(C(=O)N(C=N3)CCO)C#N,0.0,schembl6949318,B3DB(CC0)
C1=CC=C(C=C1)NC(=NC2=CC=CC=C2)N,0.0,"1,3-diphenylguanidine",B3DB(CC0)
C1CCN(CC1)C2=NC(=NC3=C2N=C(N=C3N4CCCCC4)N(CCO)CCO)N(CCO)CCO,0.0,dipyridamole,B3DB(CC0)
C[C@@H](C1=CC=CC=C1)NC2=NC=CC(=C2)C3=C(N=C(N3C)C4CCNCC4)C5=CC(=CC=C5)C(F)(F)F,0.01,compound d,B3DB(CC0)
CC(C)NCC(COC1=CC=CC=C1OCC=C)O,0.02,oxprenolol,B3DB(CC0)
C1=CC=C(C=C1)N2C(=O)C3=C(C(=NC3N2)CC(=O)C4=CC=CC5=CC=CC=C54)CC(=O)C6=CC=CC7=CC=CC=C76,0.02,nsc382927,B3DB(CC0)
N#[N+]O,0.03,"nitrous oxide, 99%",B3DB(CC0)
CCN1C(=NC(=C(C1=O)[N+](=O)[O-])N2CCC3=CC=CC=C3CC2)C,0.04,schembl6946348,B3DB(CC0)
B(C1=CC=C(C=C1)C[C@@H](C(=O)O)N)(O)O,0.05,4-boronophenylalanine,B3DB(CC0)
CCCN(CCC)C1=CC(=NC2=C(C(=NN12)C)C3=CN=C(C=C3C)N(C)C)C,0.07,195055-03-9,B3DB(CC0)
O[C@@]1(C(OC)=O)C2[C@@](C(C=C([C@@](C[C@H](C[C@]3(O)CC)C[N@](C3)CC4)(C(OC)=O)C5=C4C(C=CC=C6)=C6N5)C(OC)=C7)=C7N2C)(CCN8CC=C9)C8[C@]9(CC)[C@H]1OC(C)=O,0.07,vinblastine,B3DB(CC0)
C[C@]12CCN([C@@H]1N(C3=C2C=C(C=C3)OC(=O)NC)C)C,0.08,chembl1243269,B3DB(CC0)
C1CC2=CC=CC=C2CC1OC(=O)C3=CC=CC=C3C(=O)O,0.09,7461-08-7,B3DB(CC0)
CN1C2=CC=CC=C2C(=O)N3C1=C4C(=C5C=CC=CC5=N4)CC3,0.11,dehydroevodiamine,B3DB(CC0)
C1C=N[C@H](N1)NC2=C(C=CC=C2Cl)Cl,0.11,"(2r)-n-(2,6-dichlorophenyl)-2,5-dihydro-1h-imidazol-2-amine",B3DB(CC0)
CCC[C@@H](C)C1(C(=O)NC(=O)NC1=O)CC,0.12,(r)-pentobarbital,B3DB(CC0)
F\C=C\O\C=C/F,0.13,nan,B3DB(CC0)
C(=CF)OC=CF,0.13,fluorovinyl ether,B3DB(CC0)
OC1=CC(O)=CC2C1=CC(OC4[C@@H]([C@H]([C@@H]([C@@H](CO)O4)O)O)O)=C(C3=CC=C(O)C(O)=C3)O2,0.15,cyanidin 3-o-glucoside,B3DB(CC0)
C1=CC(=C(C=C1C2=[O+]C3=CC(=CC(=C3C=C2O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O)O)O)O,0.15,cyanidin 3-o-glucoside,B3DB(CC0)
CC(C(=O)O)O,0.16,lactic acid,B3DB(CC0)
FC(F)(F)C1=CC(=NC(Cl)=C1)N1CCN(CCCCN2CCCC2=O)CC1,0.16,7-k08,B3DB(CC0)
C1CCN(CC1)CCOC2=CC=C(C=C2)OC3=C(C=CC4=C3C=CC(=C4)O)C5=CC=CC(=C5)C#N,0.17,chembl243999,B3DB(CC0)
COC1=C2C3=C(CNCC[C@]34C=C[C@@H](C[C@@H]4O2)O)C=C1,0.18,norgalanthamine,B3DB(CC0)
[C@]23([C@]1([C@H](OC1)C[C@@H]([C@@]2(C([C@H](OC(C)=O)C=2C([C@]([C@@H]3OC(c1ccccc1)=O)(C[C@H](OC([C@H]([C@@H](c1ccccc1)NC(c1ccc(cc1)F)=O)O)=O)C2C)O)(C)C)=O)C)O)OC(C)=O)[H],0.19,4-fluoropaclitaxel,B3DB(CC0)
CC1=C2[C@H](C(=O)[C@@]3([C@H](C[C@@H]4[C@]([C@H]3[C@@H]([C@@](C2(C)C)(C[C@@H]1OC(=O)[C@@H]([C@H](C5=CC=CC=C5)NC(=O)C6=CC=C(C=C6)F)O)O)OC(=O)C7=CC=CC=C7)(CO4)OC(=O)C)O)C)OC(=O)C,0.19,4-fluoropaclitaxel,B3DB(CC0)
CCC(=O)N(C1=CC=CC=C1)C2(CCN(CC2)CCC3=CC=CS3)COC,0.2,sufentanil,B3DB(CC0)
CN(C)CC1=CC=CC=C1SC2=CC(=C(C=C2N)Cl)F,0.2,chembl142158,B3DB(CC0)
CC1=NC(=C(C(=O)N1CCOC)[N+](=O)[O-])N2CCC(CC2)C3=CC=C(C=C3)F,0.2,schembl4414781,B3DB(CC0)
CN1[C@H]2CC(C[C@H]1[C@H]3[C@@H]2O3)OC(=O)C(CO)C4=CC=CC=C4,0.23,scopolamine,B3DB(CC0)
COC1=CC(=CC(=C1OC)OC)/C=C/C(=O)NCCN2C3=CC=CC=C3C=C2C(F)(F)F,0.23,5d,B3DB(CC0)
