compound,role,target_gene,source,smiles,smiles_kind,cid,mw
donepezil,non_engager,ALL,AChE inhibitor; no persistence-substrate target engagement,COC1=C(C=C2C(=C1)CC(C2=O)CC3CCN(CC3)CC4=CC=CC=C4)OC,connectivity,3152,379.5
methylphenidate,non_engager,ALL,DAT/NET blocker; off-substrate,COC(=O)C(C1CCCCN1)C2=CC=CC=C2,connectivity,4158,233.31
modafinil,non_engager,ALL,wake-promoting (DAT); off-substrate,C1=CC=C(C=C1)C(C2=CC=CC=C2)S(=O)CC(=O)N,connectivity,4236,273.36
fluoxetine,non_engager,ALL,SSRI (SERT); off-substrate,CNCCC(C1=CC=CC=C1)OC2=CC=C(C=C2)C(F)(F)F,connectivity,3386,309.33
amphetamine,non_engager,ALL,monoamine releaser; off-substrate,CC(CC1=CC=CC=C1)N,connectivity,3007,135.21
memantine,non_engager,ALL,NMDA open-channel blocker; off-substrate,CC12CC3CC(C1)(CC(C3)(C2)N)C,connectivity,4054,179.31
caffeine,non_engager,ALL,adenosine/PDE; off-substrate,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,connectivity,2519,194.19
propranolol,non_engager,ALL,beta-adrenergic blocker; off-substrate,CC(C)NCC(COC1=CC=CC2=CC=CC=C21)O,connectivity,4946,259.35
loratadine,non_engager,ALL,peripheral H1 antihistamine; off-substrate,CCOC(=O)N1CCC(=C2C3=C(CCC4=C2N=CC=C4)C=C(C=C3)Cl)CC1,connectivity,3957,382.89
atorvastatin,non_engager,ALL,HMG-CoA reductase; off-substrate,CC(C)C1=C(C(=C(N1CCC(CC(CC(=O)O)O)O)C2=CC=C(C=C2)F)C3=CC=CC=C3)C(=O)NC4=CC=CC=C4,connectivity,60823,558.65
metformin,non_engager,ALL,complex-I/AMPK; off-substrate,CN(C)C(=N)N=C(N)N,connectivity,4091,129.17
ibuprofen,non_engager,ALL,COX inhibitor (NSAID); off-substrate,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,connectivity,3672,206.28
acetaminophen,non_engager,ALL,analgesic; off-substrate,CC(=O)NC1=CC=C(C=C1)O,connectivity,1983,151.16
warfarin,non_engager,ALL,VKOR (anticoagulant); off-substrate,CC(=O)CC(C1=CC=CC=C1)C2=C(C3=CC=CC=C3OC2=O)O,connectivity,54678486,308.33
omeprazole,non_engager,ALL,H+/K+ ATPase (PPI); off-substrate,CC1=CN=C(C(=C1OC)C)CS(=O)C2=NC3=C(N2)C=C(C=C3)OC,connectivity,4594,345.42
imatinib,non_engager,ALL,BCR-ABL/KIT/PDGFR kinase inhibitor (~493 Da); SIZE-MATCHED large non-engager - controls MAMMAL molecular-size bias,CC1=C(C=C(C=C1)NC(=O)C2=CC=C(C=C2)CN3CCN(CC3)C)NC4=NC=CC(=N4)C5=CN=CC=C5,connectivity,5291,493.62
montelukast,non_engager,ALL,CysLT1 antagonist (~586 Da); size-matched large non-engager,CC(C)(C1=CC=CC=C1CCC(C2=CC=CC(=C2)C=CC3=NC4=C(C=CC(=C4)Cl)C=C3)SCC5(CC5)CC(=O)O)O,connectivity,5281040,586.2
telmisartan,non_engager,ALL,AT1 blocker (~514 Da); size-matched large non-engager,CCCC1=NC2=C(N1CC3=CC=C(C=C3)C4=CC=CC=C4C(=O)O)C=C(C=C2C)C5=NC6=CC=CC=C6N5C,connectivity,65999,514.63
irinotecan,non_engager,ALL,topoisomerase-I inhibitor (~586 Da); size-matched large non-engager,CCC1=C2CN3C(=CC4=C(C3=O)COC(=O)C4(CC)O)C2=NC5=C1C=C(C=C5)OC(=O)N6CCC(CC6)N7CCCCC7,connectivity,60838,586.69
glibenclamide,non_engager,ALL,SUR1/KATP (~494 Da); size-matched large non-engager,COC1=C(C=C(C=C1)Cl)C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)NC3CCCCC3,connectivity,3488,494.01
repaglinide,non_engager,ALL,KATP (~452 Da); size-matched large non-engager,CCOC1=C(C=CC(=C1)CC(=O)NC(CC(C)C)C2=CC=CC=C2N3CCCCC3)C(=O)O,connectivity,65981,452.6
saquinavir,non_engager,ALL,HIV protease inhibitor (~671 Da); size-matched large non-engager,CC(C)(C)NC(=O)C1CC2CCCCC2CN1CC(C(CC3=CC=CC=C3)NC(=O)C(CC(=O)N)NC(=O)C4=NC5=CC=CC=C5C=C4)O,connectivity,441243,670.86
lovastatin,non_engager,ALL,HMG-CoA reductase (~404 Da); size-matched large non-engager,CCC(C)C(=O)OC1CC(C=C2C1C(C(C=C2)C)CCC3CC(CC(=O)O3)O)C,connectivity,53232,404.55
ritonavir,non_engager,ALL,HIV protease inhibitor (~721 Da); BH3-mimetic-SIZED non-engager (de-entangles BCL2 channel),CC(C)C1=NC(=CS1)CN(C)C(=O)NC(C(C)C)C(=O)NC(CC2=CC=CC=C2)CC(C(CC3=CC=CC=C3)NC(=O)OCC4=CN=CS4)O,connectivity,392622,720.96
atazanavir,non_engager,ALL,HIV protease inhibitor (~705 Da); BH3-mimetic-sized non-engager,CC(C)(C)C(C(=O)NC(CC1=CC=CC=C1)C(CN(CC2=CC=C(C=C2)C3=CC=CC=N3)NC(=O)C(C(C)(C)C)NC(=O)OC)O)NC(=O)OC,connectivity,148192,704.87
ledipasvir,non_engager,ALL,HCV NS5A inhibitor (~889 Da); BH3-mimetic-sized non-engager (reaches venetoclax/ABT-737 range),CC(C)C(C(=O)N1CC2(CC2)CC1C3=NC=C(N3)C4=CC5=C(C=C4)C6=C(C5(F)F)C=C(C=C6)C7=CC8=C(C=C7)N=C(N8)C9C1CCC(C1)N9C(=O)C(C(C)C)NC(=O)OC)NC(=O)OC,connectivity,67505836,889.02
velpatasvir,non_engager,ALL,HCV NS5A inhibitor (~883 Da); BH3-mimetic-sized non-engager,CC1CCC(N1C(=O)C(C(C)C)NC(=O)OC)C2=NC3=C(N2)C=CC4=CC5=C(C=C43)OCC6=C5C=CC(=C6)C7=CN=C(N7)C8CC(CN8C(=O)C(C9=CC=CC=C9)NC(=O)OC)COC,connectivity,67683363,883.02
daclatasvir,non_engager,ALL,HCV NS5A inhibitor (~739 Da); BH3-mimetic-sized non-engager,CC(C)C(C(=O)N1CCCC1C2=NC=C(N2)C3=CC=C(C=C3)C4=CC=C(C=C4)C5=CN=C(N5)C6CCCN6C(=O)C(C(C)C)NC(=O)OC)NC(=O)OC,connectivity,25154714,738.89
paritaprevir,non_engager,ALL,HCV NS3/4A protease inhibitor (~765 Da); BH3-mimetic-sized non-engager,CC1=CN=C(C=N1)C(=O)NC2CCCCCC=CC3CC3(NC(=O)C4CC(CN4C2=O)OC5=NC6=CC=CC=C6C7=CC=CC=C75)C(=O)NS(=O)(=O)C8CC8,connectivity,45110509,765.89
rifampin,non_engager,ALL,bacterial RNA polymerase inhibitor (~823 Da); BH3-mimetic-sized non-engager,CC1C=CC=C(C(=O)NC2=C(C(=C3C(=C2O)C(=C(C4=C3C(=O)C(O4)(OC=CC(C(C(C(C(C(C1O)C)O)C)OC(=O)C)C)OC)C)C)O)O)C=NN5CCN(CC5)C)C,connectivity,135398735,822.95
rifabutin,non_engager,ALL,bacterial RNA polymerase inhibitor (~847 Da); BH3-mimetic-sized non-engager,CC1C=CC=C(C(=O)NC2=C(C3=C(C4=C(C(=C3O)C)OC(C4=O)(OC=CC(C(C(C(C(C(C1O)C)O)C)OC(=O)C)C)OC)C)C5=NC6(CCN(CC6)CC(C)C)N=C25)O)C,connectivity,135415564,847.02
paclitaxel,non_engager,ALL,"microtubule stabiliser (~854 Da); apoptosis is DOWNSTREAM, not via BH3-mimicry - a large non-BCL2-binder",CC1=C2C(C(=O)C3(C(CC4C(C3C(C(C2(C)C)(CC1OC(=O)C(C(C5=CC=CC=C5)NC(=O)C6=CC=CC=C6)O)O)OC(=O)C7=CC=CC=C7)(CO4)OC(=O)C)O)C)OC(=O)C,connectivity,36314,853.92
digoxin,non_engager,ALL,cardiac glycoside Na/K-ATPase (~781 Da); BH3-mimetic-sized non-engager,CC1C(C(CC(O1)OC2C(OC(CC2O)OC3C(OC(CC3O)OC4CCC5(C(C4)CCC6C5CC(C7(C6(CCC7C8=CC(=O)OC8)O)C)O)C)C)C)O)O,connectivity,2724385,780.95
