compound,assay_family,assay,species,direction,effect_detail,citation_short,pmid_doi,quote,caveat,source_lane,verification
baicalin,ocular_dominance,adult mouse V1 ocular dominance plasticity by intrinsic signal optical imaging and electrophysiology; plus visual acuity recovery with reverse suturing in adult amblyopic mice,rodent,opens_window,"10 mg/kg baicalin (a flavonoid from Scutellaria baicalensis) reactivated adult ocular dominance plasticity; 5 mg/kg and whole Scutellaria water extract did NOT. Baicalin plus reverse suturing restored both OD distribution and visual acuity to normal in adult amblyopic mice. It reduced GAD65/67 and perineuronal nets in V1, and the GABA-A agonist muscimol given during baicalin treatment BLOCKED the rescued plasticity.",Neuroimage 2026;: 'Baicalin reactivates ocular dominance plasticity to restore vision from amblyopia in adult mice',PMID 41651095 / doi:10.1016/j.neuroimage.2026.121776,"10 mg/kg baicalin treatment reactivates ODP in adult mice, whereas 5mg/kg or Scutellaria water extract fails to do so","SINGLE 2026 PAPER, NOT INDEPENDENTLY REPLICATED. Sharp dose discontinuity (10 mg/kg works, 5 mg/kg does not) with no intermediate doses reported is a fragility signal. Abstract-level only — full text not open-access, so I did not retrieve numeric ODI values. Treat as a candidate, not evidence.",assay-ocular-dominance,unverified_single_pass
chondroitinase_abc,ocular_dominance,"adult rat V1 single-unit ocular dominance shift after MD, following intracortical CSPG/perineuronal-net degradation",rodent,opens_window,"In adult rats past the critical period MD normally produces no OD shift; after chondroitinase-ABC degradation of chondroitin sulphate proteoglycans, MD produced an OD shift toward the non-deprived eye. PNN assembly was shown to coincide with critical period closure and to be delayed by dark rearing. Numeric OD/CBI values are in the paywalled full text, not the abstract.","Pizzorusso et al., Science 2002;298(5596):1248-51",PMID 12424383 / doi:10.1126/science.1072699,"After CSPG degradation with chondroitinase-ABC in adult rats, monocular deprivation caused an ocular dominance shift toward the nondeprived eye.",G2-CRITICAL: the agent is a bacterial ENZYME acting on an extracellular matrix substrate. There is no protein pocket and no pKd — a BindingDB-affinity DTI head cannot represent this lever at all. No human equivalent exists.,assay-ocular-dominance,CONFIRMED
chondroitinase_abc,ocular_dominance,"adult rat recovery from early MD: ocular dominance, behavioural visual acuity and dendritic spine density after chABC + reverse lid-suture",rodent,opens_window,"Chondroitinase ABC combined with reverse lid-suturing in adult rats produced complete recovery of ocular dominance, visual acuity AND dendritic spine density after a critical-period MD. Note the design: the enzyme alone is not the treatment — it is enzyme PLUS forced visual experience, i.e. a drug x training design. Numeric values are in the full text, not the abstract.","Pizzorusso et al., PNAS 2006;103(22):8517-22",PMID 16709670 / doi:10.1073/pnas.0602657103,"chondroitinase ABC treatment coupled with reverse lid-suturing causes a complete recovery of ocular dominance, visual acuity, and dendritic spine density",The recovery requires coupled reverse-suture training; the compound alone was not sufficient. This is the rodent archetype of the drug x training hypothesis whose human pre-registered test failed in your ledger.,assay-ocular-dominance,CONFIRMED
citalopram,ocular_dominance,"adult human amblyopia: citalopram 20 mg/day + part-time fellow-eye patching vs placebo + patching, two 2-week blocks, randomized double-blind crossover with 2-week washout; amblyopic-eye visual acuity primary, stereoacuity and ERG/VEP secondary",human,no_effect,"No statistically significant difference in amblyopic-eye acuity change between active (mean +/- SD = 0.08 +/- 0.16 logMAR) and placebo (mean = -0.01 +/- 0.03 logMAR) blocks; note the active-arm mean is POSITIVE logMAR, i.e. worse. No treatment effects on any secondary outcome including electrophysiological measures. 3 of 7 participants improved >=0.1 logMAR in the active but not the placebo block. Preregistered ACTRN12611000669998.","Lagas, Black, Thompson et al., Neural Plast 2019;2019:5857243",PMID 31281343 / doi:10.1155/2019/5857243,There were no statistically significant differences in amblyopic eye visual acuity change between the active,"SEVERELY UNDERPOWERED AND THE AUTHORS SAY SO: 7 randomized against a prespecified 20 (65% under-enrolment). The '3 of 7 responders' framing is a post-hoc subgroup with no placebo-arm denominator control — do NOT let it enter the corpus as a positive. Patients, not healthy adults.",assay-ocular-dominance,CONFIRMED
dark_exposure,ocular_dominance,adult rat V1 rapid ocular dominance shift after brief (<=3 d) MD preceded by complete visual deprivation (dark exposure),rodent,opens_window,Brief MD is ineffective in adults; preceded by dark exposure it produced a persistent juvenile-like OD shift driven by rapid depression of the deprived-eye response plus potentiation of the non-deprived-eye response. Accompanied by a decrease in GABA-A relative to AMPA receptors and a return to the juvenile NMDA receptor form. Effect persisted for days even if binocular vision intervened before MD.,"He, Hodos, Quinlan, J Neurosci 2006;26(11):2951-5",PMID 16540572 / doi:10.1523/JNEUROSCI.5554-05.2006,juvenile-like ocular dominance plasticity can be reactivated in adult rodent visual cortex when monocular deprivation is preceded by visual deprivation,"THE CAUSAL LABEL IS WRONG — the same group later showed it is LIGHT REINTRODUCTION, not darkness, that reactivates plasticity (PMID 28875930). Any corpus row encoding 'dark exposure' as the causal agent has the wrong causal variable.",assay-ocular-dominance,unverified_single_pass
diazepam,ocular_dominance,mouse V1 ocular dominance plasticity after MD; benzodiazepine enhancement of GABA transmission in GAD65 knockouts and in immature wild-type mice,rodent,mixed,"Benzodiazepines applied to GAD65-null mice of any age, and to immature wild-type mice before their natural critical period, UNMASKED ocular dominance plasticity (precocious OPENING). But chronic early diazepam rendered the same mutant animals INSENSITIVE to monocular deprivation as adults (permanent CLOSING), matching normal wild-type adults. The authors frame this as an inhibitory threshold that triggers the critical period once in life.","Fagiolini & Hensch, Nature 2000;404(6774):183-6",PMID 10724170 / doi:10.1038/35004582,Enhancing GABA-mediated transmission early in life rendered mutant animals insensitive to monocular deprivation as adults,"DIRECTION IS GENUINELY NOT A SCALAR for this compound: same drug, same assay, opposite sign depending on developmental timing. A compound-level window score cannot encode this. Separately, cortical diazepam BLOCKS the fluoxetine effect in adults (PMID 18420937), which is the adult-onset 'closes' reading.",assay-ocular-dominance,unverified_single_pass
donepezil,ocular_dominance,"healthy adult human perceptual eye dominance shift after 2 h monocular patching, measured by binocular phase combination; donepezil 5 mg oral vs lactose placebo, double-blind crossover",human,closes_window,"n = 12 healthy adults, within-subject crossover. BOTH conditions showed a significant post-patching shift favouring the patched eye, but donepezil significantly REDUCED its magnitude and duration: post-hoc paired t-test on the main effect of session t(11) = -4.9, p < 0.001, M = -1.27, 95% CI [-1.79, -0.75]; ANOVA session effect Wilks' lambda = 0.5, F(1,11) = 11.1, p < 0.01, partial eta-squared = 0.50; interaction F(4,44) = 0.83, p > 0.05. Under placebo the shift stayed significant through 60 min; under donepezil it was significant only at the first post-patch timepoint.","Sheynin, Chamoun, Baldwin, Rosa-Neto, Hess, Vaucher, Front Neurosci 2019;13:22",PMID 30766471 / doi:10.3389/fnins.2019.00022,treated with donepezil was significantly reduced relative to the placebo control condition,"THE G3 ANCHOR, AND IT HOLDS. Same drug INCREASES human perceptual learning (PMID 20850321). n = 12, single 5 mg dose, acute readout only (<=60 min) — this is not a durable window measurement and says nothing about post-washout gain.",assay-ocular-dominance,CONFIRMED
donepezil,ocular_dominance,"healthy adult human binocular rivalry dynamics (perceptual suppression depth, interocular competition rate, mixed/superimposition percepts); donepezil 5 mg oral vs placebo, crossover",human,mixed,"n = 23 (13 male), two crossover sessions, rivalry measured before and after donepezil 5 mg or lactose placebo. Donepezil attenuated perceptual suppression during binocular rivalry, reduced the overall rate of interocular competition, and increased the visibility of superimposition mixed percepts. The authors interpret this as cholinergic activity counteracting GABAergic inhibitory drive in visual cortex.","Sheynin, Proulx, Hess et al., J Neurosci 2020;40(27):5208-5213",PMID 32457075 / doi:10.1523/JNEUROSCI.2484-19.2020,"enhanced cholinergic potentiation attenuates perceptual suppression during binocular rivalry, reducing the overall rate of interocular competition","Coded MIXED deliberately. The MECHANISTIC direction is plasticity-permissive (reduced cortical inhibition, the canonical window-opening signature), yet the same drug in the same lab REDUCES the actual MD-induced OD shift (PMID 30766471). A mechanism-level proxy and a behaviour-level window measure disagree for one drug — a direct warning against scoring windows from mechanism.",assay-ocular-dominance,CONFIRMED
fluoxetine,ocular_dominance,"adult rat V1 ocular dominance shift after monocular deprivation (VEP C/I ratio + single-unit), plus visual acuity recovery in adult amblyopic rats",rodent,opens_window,Chronic fluoxetine in adult rats reinstated an MD-induced ocular dominance shift and restored visual acuity in long-term-deprived amblyopic adults; accompanied by reduced intracortical inhibition and increased BDNF. Cortical diazepam infusion abolished the effect. NO numeric effect size appears in the abstract and the Science full text is paywalled and was not retrieved — I am deliberately NOT quoting a numeric C/I VEP ratio for this row because I could not verify one against the source.,"Maya Vetencourt et al., Science 2008;320(5874):385-8",PMID 18420937 / doi:10.1126/science.1150516,reinstates ocular dominance plasticity in adulthood and promotes the recovery of visual functions in adult amblyopic animals,"Effect size unverified at source (paywalled). Rodent only. Human replication on an OD-type readout has since FAILED (PMID 30150750, PMID 27807412) — this is the single most-cited row in the field and it does not translate.",assay-ocular-dominance,CONFIRMED
fluoxetine,ocular_dominance,"adult human amblyopia: Phase 2 randomized double-blind multicenter trial, fluoxetine 20 mg vs placebo for 10 weeks, with daily computerized perceptual training and eye patching in BOTH arms; amblyopic-eye visual acuity primary",human,no_effect,"n = 42 (fluoxetine 22, placebo 20). Mean treatment-group difference in acuity improvement 0.027 logMAR, 95% CI -0.057 to 0.110, p = 0.524. BOTH arms improved substantially from baseline: fluoxetine -0.167 logMAR (95% CI -0.226 to -0.108, p < 0.001) and placebo -0.194 logMAR (95% CI -0.254 to -0.133, p < 0.001) — the placebo arm numerically improved MORE.","Huttunen, Castrén, Thompson et al., Sci Rep 2018;8(1):12830",PMID 30150750 / doi:10.1038/s41598-018-31169-z,the mean treatment group difference in visual acuity improvement was only 0.027 logMAR units,"THE CLEANEST FAILED TRANSLATION IN THE LANE: the rodent headline (PMID 18420937) tested directly in humans with adequate n and a drug x training design, and the drug contributes nothing while the TRAINING produces a large real effect in both arms. This is the exact failure mode of your pre-registered drug x training test. Patients, not healthy adults.",assay-ocular-dominance,CONFIRMED
hyaluronidase,ocular_dominance,"adult mouse V1 ocular dominance plasticity reactivated by light reintroduction after dark exposure; MMP-9 pharmacological inhibition, Mmp9-/- knockout, and hyaluronidase rescue",rodent,opens_window,"Light reintroduction after dark exposure — not the dark exposure itself — triggers perisynaptic MMP-9 activation enriched at thalamocortical synapses, which degrades the ECM and reactivates adult OD plasticity. Reactivation is BLOCKED by MMP-9 pharmacological inhibition and ABSENT in Mmp9-/- mice, and is RESCUED in those mice by hyaluronidase, an independent ECM-degrading enzyme. This is a necessity + sufficiency pair on the ECM node.","Murase, Winsor, Quinlan et al., eLife 2017;6:e27345",PMID 28875930 / doi:10.7554/eLife.27345,"is absent in Mmp9-/- mice, and is rescued by hyaluronidase, an enzyme that degrades core ECM components","G2-CRITICAL: both the opener (hyaluronidase) and the closer (MMP-9 inhibition) act on ECM substrate, not on a druggable binding pocket with a pKd. This row and the two chABC rows together are the measured reason the DTI head cannot see the plasticity levers.",assay-ocular-dominance,unverified_single_pass
ketamine,ocular_dominance,"adult mouse V1 ocular dominance index (intrinsic signal imaging) after 4 d MD, plus visual-water-task deprived-eye acuity recovery from amblyopia",rodent,opens_window,"Single-dose subanesthetic ketamine reactivated adult OD plasticity: ODI reduced in ketamine vs saline adults, Mann-Whitney U p = 0.0078 (n = 18 ketamine vs n = 16 saline). Deprived-eye perceptual acuity threshold 0.42 cpd with ketamine vs 0.34 cpd control, Mann-Whitney U p = 0.0008 (n = 12 vs n = 11), with no significant change in the non-deprived eye (p = 0.1927). Mechanism: downregulation of NRG1 in PV interneurons producing sustained cortical disinhibition; blocked by exogenous NRG1 and by PV-targeted receptor knockout.","Grieco, Qiao, Xu et al., Curr Biol 2020;30(18):3591-3603.e8",PMID 32822611 / doi:10.1016/j.cub.2020.07.008,single-dose ketamine reactivates adult mouse visual cortical plasticity and promotes functional recovery of visual acuity defects from amblyopia,"Nonparametric tests on modest n. Mechanism is PV-interneuron disinhibition via NRG1 — again an E/I-balance node, not an affinity event the DTI head can score. Relevant to G4: human SV2A PET sees nothing 24h post-ketamine, so this rodent window has no human readout.",assay-ocular-dominance,CONFIRMED
ketamine,ocular_dominance,"Ocular-dominance shift after 7-day monocular deprivation in adult mice (3 injections), with WFA quantification of PNNs around PV+ interneurons in the same animals",rodent,opens_window,"Ketamine (3 or 20 mg/kg) and R,R-HNK both facilitated the OD shift in monocularly deprived adult mice; R,R-HNK showed the larger effect size. PNN levels around PV+ interneurons were UNCHANGED by either drug. In vitro, both disrupted the TRKB-PTPsigma interaction.",Cannarozzo 2023 Eur J Neurosci,PMID 36740723 / doi:10.1111/ejn.15929,"Treatment with ketamine or R,R-HNK failed to influence the levels of perineuronal nets (PNNs) surrounding parvalbumin-positive interneurons","THE MOST IMPORTANT ROW IN THIS LANE FOR G3. It is the only paper I found measuring a functional window assay and the PNN substrate in the same animals, and the two DISSOCIATE: window opens, PNN does not move. This falsifies the assumption that a PNN/ECM readout can proxy a window label, and it means a compound-level 'opens window' score built from PNN evidence and one built from OD evidence are not the same quantity. RODENT ONLY. Abstract reports no numeric effect sizes or CIs; 'higher effect size' is the authors' wording, not a statistic I can quote.",assay-spine-pnn,unverified_single_pass
levodopa,ocular_dominance,"residual amblyopia in children aged 7-12: 16 weeks oral levodopa (with carbidopa) three times daily vs placebo, both arms patching the fellow eye 2 h/day; mean change in best-corrected amblyopic-eye visual acuity at 18 weeks",human,no_effect,"n = 139 children, randomized placebo-controlled. Amblyopic-eye acuity improved 5.2 letters with levodopa vs 3.8 letters with placebo; difference adjusted for baseline acuity +1.4 letters, 1-sided p = 0.06, 2-sided 95% CI -0.4 to 3.3 letters. No serious adverse effects during treatment.","PEDIG (Pediatric Eye Disease Investigator Group), Ophthalmology 2015;122(5):874-81",PMID 25676904 / doi:10.1016/j.ophtha.2015.01.002,oral levodopa while continuing to patch 2 hours daily does not produce a clinically or statistically meaningful improvement,"BEST-POWERED HUMAN TRIAL IN THE LANE (n = 139) AND IT IS NULL. Population is CHILDREN 7-12 with residual amblyopia, so it is neither healthy nor adult — if anything the window should be MORE open here, making the null stronger against levodopa. Note the CI crosses zero while the 1-sided p is 0.06: an exact borderline case for a promote-criterion.",assay-ocular-dominance,unverified_single_pass
mmp9_inhibitor_i,ocular_dominance,"Reactivation of ocular-dominance plasticity in ADULT mouse V1 by light reintroduction after dark exposure, with intracortical MMP-9 inhibitor infusion and Mmp9-/- comparison",rodent,closes_window,"Light reintroduction after dark exposure triggered ECM degradation and reactivated plasticity in adult V1; MMP-9 Inhibitor I (CAS 1177749-58-4, IC50 = 5 nM) infused intracortically at 5 nM via osmotic minipump for 6 days prevented the ECM degradation, and reactivation was absent in Mmp9-/- mice. Plasticity was rescued by hyaluronidase.",Murase 2017 eLife,PMID 28875930 / doi:10.7554/eLife.27345,"LRx triggers degradation of the ECM, which is blocked by pharmacological inhibition or genetic ablation of matrix metalloproteinase-9 (MMP-9)","RODENT ONLY, and the only CLOSES_WINDOW row in this lane - it is a loss-of-function control inside a positive paper, not a study designed to find window closure, so it is not evidence about base rates of closure. Directly relevant to G2: MMP9 is one of the targets where the BindingDB pKd head measures AUROC 0.42 with permutation p>0.7, and all MMP9 evidence available here is INHIBITION; I found NO compound that pharmacologically increases MMP9 activity, so the 'MMP9 modulator' lever the pipeline wants to score has no positive-direction ligand to score. Pharmacological convergence with the Mmp9-/- genetic result is the main strength. Compare Spolidoro 2012 (PMID 21685398), where MMP inhibition also prevented the MD-induced spine-density increase - but that paper's specific inhibitor is not named in the retrievable text, so do not assign it a compound identity.",assay-spine-pnn,unverified_single_pass
physostigmine,ocular_dominance,adult mouse V1 contralateral bias index after MD in Lynx1 knockouts; and visual acuity recovery in adult wild-type mice given a cholinesterase inhibitor plus deprived-eye reopening,rodent,opens_window,"Lynx1 protein rises with age and prevents adult V1 plasticity by braking nicotinic ACh receptor signalling; removing it restores adult OD plasticity (adult MD shifted the OD distribution of Lynx1 KO mice, CBI = 0.55, 216 cells, 8 mice). In wild-type adults, reopening the deprived eye together with a cholinesterase inhibitor restored vision: AChEI group 0.48 +/- 0.06 cyc/deg, 4 mice, P < 0.05 vs eye-opening alone.","Morishita, Miwa, Heintz, Hensch, Science 2010;330(6008):1238-40",PMID 21071629 / doi:10.1126/science.1195320,we identified an increase in expression of Lynx1 protein in mice that prevented plasticity in the primary visual cortex late in life,"G3 HEADLINE ROW. A cholinesterase inhibitor OPENS the rodent OD window here, while donepezil — the same drug class — CLOSES the human OD shift (PMID 30766471). n = 4 mice in the AChEI acuity arm. The rodent agent is physostigmine, not donepezil; no primary rodent donepezil-on-OD study was found.",assay-ocular-dominance,unverified_single_pass
trichostatin_a,ocular_dominance,"Ocular-dominance plasticity in ADULT mice after pharmacological stimulation of histone acetylation, with ERK/MSK/H3-H4 acetylation and CREB-mediated transcription measured in vivo",rodent,opens_window,"In juveniles, visual stimulation drove ERK-dependent MSK and histone H3 phosphorylation and H3-H4 acetylation alongside CREB-mediated transcription; in adults ERK and MSK were still inducible but CREB-mediated expression and H3-H4 modification were weak. Trichostatin treatment of adults restored histone acetylation and promoted ocular-dominance plasticity.",Putignano 2007 Neuron,PMID 17329213 / doi:10.1016/j.neuron.2007.02.007,Stimulation of histone acetylation in adult animals by means of trichostatin promoted ocular dominance plasticity,"RODENT ONLY, no effect sizes in the abstract, and this paper carries a published erratum (Neuron 2007;54(1):177) - check which figure it affects before using any number from it. Trichostatin A is a research-tool HDAC inhibitor with no plausible repurposing path (toxicity, no oral exposure), so it is mechanistically informative but useless as a candidate. Mechanistically it is the same pan-HDAC lever as the valproate rows, so these three HDAC rows are NOT three independent lines of evidence and must not be counted as such in any aggregation.",assay-spine-pnn,unverified_single_pass
