ledger_compound,search_term,prediction,pred_g,pred_ci_lo,pred_ci_hi,ledger_ma_year,results_year,independent_of_ledger,cognitive_primary,patient_population,usable,exclusion_reason,nct,title,status,results_posted,completion,primary_completion,enrollment,phase,interventions,primary_outcomes,healthy_flag,eligibility
methylphenidate,methylphenidate,POSITIVE,0.21,0.09,0.32,2020,2014,False,True,Attention Deficit,False,results available 2014 vs ledger meta-analysis 2020; could have been included in the pooled estimate,NCT01933880,A Long Term Post-Marketing Study on the EffIcacy and Safety of Osmotic Release Oral System (OROS) Methylphenidate on the Cognitive Functions of Attention Deficit Hyperactivity Disorder (ADHD) Participants,COMPLETED,2014-09-17,2010-11,2010-11,194,PHASE4,Osmotic Release Oral System Methylphenidate Hydrochloride (OROS-MPH); No intervention,Change From Baseline in Digit Span Test Total Score at Week 12 | Change From Baseline in Inattention/Overactivity With Aggression (IOWA) Conners Behavior Rating Scale - I/O Score at Week 1 | Change From Baseline in IOWA Conners Behavior Rating Scale - I/O Score at Week 2 | Change From Baseline in IOWA Conners Behavior Rating Scale - I/O Score at Week 3 | Change From Baseline in IOWA Conners Behavior Rating Scale - I/O Score at Week 7 | Change From Baseline in IOWA Conners Behavior Rating Scale - I/O Score at Week 12,True,"Inclusion Criteria:

* ADHD children must sign the consent form in person, and their parents or guardian must endorse, in the consent form, participation of the child in the designated research program
* Through personal interaction and assessment questionnaire, examine to determine compliance of DSM-IV ADHD diagnostic criteria
* According to the judgment of researchers, the ADHD children should have normal intelligence. Normal intelligence is defined as no obvious evidence of mental retardation in general (specific learning disabilities will not be considered mental retardation in general), formal IQ test to be conducted and 85 marks or above ought to be scored
* ADHD children should not have been subjected to psychotropic drug treatment within 6 months. Those ADHD children on whom methylphenidate immediate-release tablets treatment is effective (with maximum daily dosage of 60 mg), may be admitted
* Normal children with IQ greater than or equal to 85

Exclusion Criteria:

* Unable to fully comply with the cognitive function test in the laboratory
* Known to be allergic to methylphenidate
* Consumption of psychoactive drugs currently or in the past 30 days, including use of monoam"
methylphenidate,methylphenidate,POSITIVE,0.21,0.09,0.32,2020,2010,False,False,,False,primary outcome is not a cognitive measure; matched only via the registry's term expansion (attention -> concentration)results available 2010 vs ledger meta-analysis 2020; could have been included in the pooled estimate,NCT00901576,A Drug Interaction Study of SPD503 and Concerta Administered Alone and In Combination in Normal Healthy Volunteers,COMPLETED,2010-05-19,2009-07-06,2009-07-06,38,PHASE1,SPD503; Concerta; SPD503 + Concerta,Maximum Plasma Concentration (Cmax) of Guanfacine | Area Under the Steady-state Plasma Concentration-time Curve (AUC) of Guanfacine | Time of Maximum Plasma Concentration (Tmax) of Guanfacine | Time of Plasma Half-Life(T 1/2) of Guanfacine | Cmax of d-Methylphenidate | AUC of d-Methylphenidate | Tmax of d-Methylphenidate | T 1/2 of d-Methylphenidate,True,"Inclusion Criteria:

* Subjects must be normal healthy adult volunteers with no significant abnormalities in medical history, physical exam, vital signs or lab evaluations at the screening visit"
methylphenidate,methylphenidate,POSITIVE,0.21,0.09,0.32,2020,2011,False,False,,False,primary outcome is not a cognitive measure; matched only via the registry's term expansion (attention -> concentration)results available 2011 vs ledger meta-analysis 2020; could have been included in the pooled estimate,NCT01183234,SPD544 High Strength Bioequivalence Study,COMPLETED,2011-08-25,2010-10-22,2010-10-22,28,PHASE1,SPD544; Methylphenidate hydrochloride,Area Under the Steady-state Plasma Concentration-time Curve (AUC 0-t) for Methylphenidate Hydrochloride (MPH) Using Two Different Formulations (Equasym XL and Metadate CD) | Maximum Plasma Concentration (Cmax) for MPH Using Two Different Formulations (Equasym XL and Metadate CD) | Time of Maximum Plasma Concentration (Tmax) for MPH Using Two Different Formulations (Equasym XL and Metadate CD),True,"Inclusion criteria:

1. Healthy subjects, aged 18-55 years inclusive at the time of consent.
2. Subject must be willing to comply with applicable contraceptive requirements of the protocol and be:

   * Male, or
   * Non-pregnant, non-lactating female who must be \>90 days post-partum or nulliparous.
3. Body Mass Index (BMI) between 18.5 and 30.0kg/m² inclusive. This inclusion criterion will only be assessed at the Screening visit.
4. Satisfactory medical assessment with no clinically significant or relevant abnormalities in medical history, physical examination, vital signs, ECG, and clinical laboratory evaluation (haematology, biochemistry, urinalysis) as assessed by the Investigator.
5. Ability to provide written, personally signed and dated informed consent to participate in the study.
6. An understanding, ability and willingness to fully comply with study procedures and restrictions.
7. Ability to swallow all investigational medicinal products (IMPs).

Exclusion criteria:

1. Current or recurrent disease (e.g., cardiovascular, renal, liver, gastrointestinal, malignancy or other conditions) that could affect the action, absorption, or disposition of the IMPs, or could affect cl"
methylphenidate,methylphenidate,POSITIVE,0.21,0.09,0.32,2020,2024,True,False,,False,primary outcome is not a cognitive measure; matched only via the registry's term expansion (attention -> concentration),NCT04603391,Cannabidiol and CES1 Interactions in Healthy Subjects,COMPLETED,2024-07-18,2021-12-31,2021-12-31,14,PHASE4,dl-Methylphenidate plus Cannabidiol; dl-Methylphenidate plus Cannabidiol Placebo solution,Differences in the Geometric Mean Ratio (GMR) of the Peak Concentration (Cmax) Will be Compared Between the Two Exposure Conditions; i.e. Methylphenidate + CBD vs Methylphenidate + Placebo. | Differences in the Geometric Mean Ratio (GMR) of the Area Under the Time Curve 0-infinity (AUCinf) for Methylphenidate Will be Compared Between the Two Exposure Conditions; i.e. Methylphenidate + CBD vs Methylphenidate + Placebo.,True,"Inclusion Criteria:

* Signed Informed Consent
* Age: 21-45 years
* Gender: males and females (50:50)
* Race or ethnicity: no restrictions
* Body Mass Index (BMI) between 18.5 to 28 kg/m2 (inclusive)
* Satisfactory completion of the screening medical history, physical exam, and laboratory evaluations.
* Females of child-bearing potential must have a negative urine pregnancy test prior to enrollment and avoid pregnancy during study participation.
* With the exception of oral contraceptives, subjects must not be taking prescription or OTC medication for the duration of study participation
* Subjects must have no ongoing use of any botanical/nutritional supplement, vitamin, or energy drink for the duration of study participation

Exclusion Criteria:

* The presence of a known allergy, hypersensitivity, or adverse reaction to CBD or cannabis, or sesame seed oil
* The presence of a known allergy, hypersensitivity, or adverse reaction to methylphenidate or dexmethylphenidate (Focalin®)
* A history (within the past year) or presence of clinically significant cardiovascular, cerebrovascular, renal, hepatic, gastrointestinal, pulmonary, immunological, hematological, endocrine, or neurologic"
methylphenidate,methylphenidate,POSITIVE,0.21,0.09,0.32,2020,2016,False,True,Epilepsy,False,results available 2016 vs ledger meta-analysis 2020; could have been included in the pooled estimate,NCT02178995,Methylphenidate Treatment of Attention Deficits in Epilepsy,COMPLETED,2016-08-31,2015-12,2015-09,55,PHASE4,Methylphenidate,"Conners' Continuous Performance Test (CPT) (Double-blind Portion, Primary Variables) | Symbol-digit Matching Test (Double-blind Portion) | MCG Paragraph Memory Test (Double-blind Portion) | Conners CPT Outcomes (Primary Variables) (Open-Label Portion) | Symbol-digit Matching Test (Open Label Phase) | MCG (Open-label Portion) | Seizure Frequency (Open-label Portion) | QOLIE-89 Aggregate Score",True,"Inclusion Criteria:

1. For participants with seizures:

   * H/o seizures of any cause
   * Subjective cognitive complaints
   * Stable antiepileptic drug doses which are not expected to change during the study
   * Recent normal cardiac auscultation (may be done prior to enrollment by personal physician or study staff)
   * Neurologist's judgement that participant is clinically appropriate for this study
2. For healthy volunteers

   * No history of seizures or other neurological disorders
   * No history of cognitive complaints for any reason (including ADHD)
   * Not on any medications which would interfere w/ cognitive testing
3. English fluency

Exclusion Criteria:

1. IQ
2. History of an adverse reaction to methylphenidate
3. Age \>65 or \<18
4. Personal medical history of

   1. Arrhythmias,
   2. Structural cardiac disease,
   3. Other cardiac abnormality
   4. Uncontrolled hypertension (\>150/95) during study. For those with BP \>140/90 \& \<150/95, they will be monitored during the study and refer them for treatment if their BP remains elevated throughout the study.
   5. Uncontrolled tachycardia during study
   6. Progressive neurological disorders which may interfere w"
methylphenidate,methylphenidate,POSITIVE,0.21,0.09,0.32,2020,2014,False,False,,False,primary outcome is not a cognitive measure; matched only via the registry's term expansion (attention -> concentration)results available 2014 vs ledger meta-analysis 2020; could have been included in the pooled estimate,NCT00302458,A Study of Repeat Dosing of OROS® Methylphenidate Hydrochloride (CONCERTA®) and Immediate Release Methylphenidate Hydrochloride in Healthy Adults,COMPLETED,2014-01-07,2007-06,2007-06,44,PHASE4,OROS-Methylphenidate; Immediate Release Methylphenidate; Placebo,Peak Plasma Concentration of d-Methylphenidate,True,"Inclusion Criteria:

1. Males or non-pregnant, non-lactating females. With the exception of women who have been post-menopausal for a minimum of 12 months prior to screening and those who have undergone hysterectomy or bilateral oophorectomy, all female subjects must have a negative urine pregnancy test at both screening and at each admission to the research unit. All male and female subjects must have used a medically acceptable form of birth control for at least one month prior to screening and be willing to continue use during the study. Medically acceptable forms of birth control include abstinence, hormonal contraceptives, diaphragm with spermicide, condom with spermicide, intrauterine device, or surgical sterilization (including vasectomy of male partner\[s\]).
2. Eighteen (18) to 45 years of age, inclusive
3. Based on medical history, limited physical examination (neurologic and cardiac) and/or lab results, are considered healthy and free of any conditions that may interfere with participation in the study. Any abnormalities at screening on results of electrocardiogram (ECG) or any laboratory test must be determined to be not clinically significant by an investigator.
4. Agr"
nicotine,nicotine,POSITIVE,0.34,0.18,0.5,2010,2022,True,True,Schizophrenia,False,,NCT03838484,Effects of Transdermal Nicotine on Response Inhibition to Emotional Cues in Schizophrenia,TERMINATED,2022-04-29,2020-02-24,2020-02-24,18,NA,"Nicotine Patch, 7 Mg/24 Hr; Placebo patch",False Alarm Error Rate | False Alarm Error Rate | Omission Error Rate | Omission Error Rate | Reaction Time for Correct Hits | Reaction Time for Correct Hits | Reaction Time for False Alarms | Reaction Time for False Alarms,True,"Inclusion Criteria for schizophrenia subjects:

1. Men and women age 18 - 65.
2. Communicative in English.
3. Provide voluntary, written informed consent.
4. Physically healthy by medical history,and ECG examination.
5. BMI \> 17.5 and \< 45.
6. Diagnosis of schizophrenia (ICD-10 F20) or schizoaffective disorder (ICD-10 F25) confirmed by Structured Clinical Interview for Diagnostic and Statistical Manual (DSM)-V (SCID) or diagnostic interview with a trained clinician.
7. Stable medication regimen over at least the past two weeks, including the use of either an oral or intramuscular administration of an antipsychotic medication. Additionally, subjects may take any prescribed medication aside from a nicotine-containing product as long as it has been regularly taken over the past two weeks, including as-needed (""PRN"") medication.
8. Negative urine toxicology and negative urine cotinine (to confirm no recent nicotine use) at screening.
9. Does not meet criteria for substance or alcohol use disorder per the SCID over the past 6 months
10. For females, no longer of child-bearing potential, or agreeing to practice effective contraception during the study (e.g., established use of oral, in"
nicotine,nicotine,POSITIVE,0.34,0.18,0.5,2010,2019,True,False,,False,primary outcome is not a cognitive measure; matched only via the registry's term expansion (attention -> concentration),NCT01928758,Reduced Nicotine Cigarettes in Smokers With Mood and Anxiety Disorders,COMPLETED,2019-02-08,2018-03-23,2018-01-11,245,NA,Reduced Nicotine Content Cigarettes; Usual Nicotine Content Cigarettes,Plasma Cotinine Concentration,True,"Inclusion Criteria:

* Smoke \>4 cigarettes/day for at least a year
* No quit attempt in prior month
* Not planning to quit smoking within next 6 months
* Plan to live in local area for next 8 months
* Meet diagnostic criteria for a current or lifetime Anxiety Disorder or Mood Disorder as determined by the Mini-international Neuropsychiatric Interview
* Read and write in English
* Women not pregnant or nursing and taking steps to avoid pregnancy
* Able to understand and consent to study procedures

Exclusion Criteria:

* Unstable or significant medical condition such as Chronic Obstructive Pulmonary Disease or kidney failure
* Use of non-cigarette nicotine delivery product in the past week or smoking cessation medicine in prior month
* Currently reducing or planning to reduce cigarette consumption in next month
* Uncontrolled serious psychotic illness or substance abuse or inpatient treatment for these in the past 6 months
* Current suicide risk on clinical assessment
* Aged \<18 or \>65
* History of difficulty providing blood samples (fainting, poor venous access)
* Unwilling to remain on one flavor of cigarette (regular or menthol) for the duration of the trial"
nicotine,nicotine,POSITIVE,0.34,0.18,0.5,2010,2015,True,False,,False,primary outcome is not a cognitive measure; matched only via the registry's term expansion (attention -> concentration),NCT01702519,A Pharmacokinetic Evaluation of Two Nicotine Patches in Smokers,COMPLETED,2015-02-11,2012-03,2012-03,40,PHASE1,nicotine,"Area Under the Curve From Time 0 to the Last Quantifiable Sample, AUC(0-t) | Maximum Measured Plasma Concentration (Cmax)",True,"Inclusion Criteria:

* BMI 19-27 kg/m2
* smokes \>10 cigarettes per day for preceeding 6 months

Exclusion Criteria:

* inability to stop smoking during study"
nicotine,nicotine,POSITIVE,0.34,0.18,0.5,2010,2017,True,False,,False,primary outcome is not a cognitive measure; matched only via the registry's term expansion (attention -> concentration),NCT02371850,Transdermal Patch CVD 1000: The Effect of Heat on Nicotine Release From Nicotine Patches in Adult Smokers,COMPLETED,2017-08-17,2015-06,2015-04,10,PHASE4,"Nicoderm patch first, then Aveva patch",Measurement of Maximum Serum Concentration (Cmax),True,"Inclusion Criteria:

* 1\. Men or non-pregnant women of any ethnic background between the age of 18 and 45 years old
* 2\. Subjects should be cigarette smokers who smoke at least 5 cigarettes per day for one year or more.
* 3\. Provide written informed consent before initiation of any study procedures.
* 4\. Available for follow-up for the planned duration of the study
* 5\. Able to communicate well with the investigators
* 6\. Able to adhere to the study restrictions and examination schedule.
* 7\. Subjects who are within their ideal body weight (BMI \>17 and \<= 25)
* 8\. Demonstrate comprehension of the protocol procedures and knowledge of study by passing (\>70% correct responses) a written examination containing 20 multiple choice and true false questions covering all aspects of the study including the purpose, procedures, risks and benefits.
* 9\. Subjects deemed to be eligible as judged by the Medically Accountable Investigator (MAI) and determined by medical history, physical examination, and medication history.
* 10\. Have a normal blood pressure (systolic: 90-140 mmHg; diastolic: 50-90 mmHg) and heart rate (55-100 bpm),
* 11\. Have normal screening laboratories for WBC, H"
nicotine,nicotine,POSITIVE,0.34,0.18,0.5,2010,2020,True,False,,False,primary outcome is not a cognitive measure; matched only via the registry's term expansion (attention -> concentration),NCT03541044,A Bioequivalence Study of Two Nicotine Lozenges in Fasting Conditions in Healthy Smokers,COMPLETED,2020-03-12,2019-03-24,2019-03-24,46,PHASE1,Nicotine Prototype Mini lozenge; Nicorette Mini Lozenge,Assessment of Bioequivalence of Prototype Mini Lozenges With Nicorette Mini Lozenge by Measuring Area Under the Plasma Concentration Versus Time Curve From Time Zero to Time t (AUC [0-t]) | Assessment of Bioequivalence of Prototype Mini Lozenges With Nicorette Mini Lozenge by Measuring Area Under the Plasma Concentration Versus Time Curve Calculated From Time Zero to Infinity (AUC [(0-inf]) | Assessment of Bioequivalence of Prototype Mini Lozenges With Nicorette Mini Lozenge by Measuring Maximum Observed Plasma Nicotine Concentration (Cmax),True,"Inclusion Criteria:

* Evidence of a personally signed and dated informed consent document indicating that the participant has been informed of all pertinent aspects of the study before any assessment is performed.
* Participants who are willing and able to comply with scheduled visits, treatment plan, laboratory tests, and other study procedures.
* Healthy participants which is defined as in general good physical health, as judged by the investigator and no clinically relevant abnormalities identified by a detailed medical history, full physical examination, including blood pressure, respiratory rate, oral body temperature and pulse rate measurement, 12-lead ECG or clinical laboratory tests.
* Body Mass Index (BMI) of 19 to 27 Kilogram per meter square (kg/m2), inclusive; and a total body weight \>50 kg (110 pounds \[lbs\]).
* Female participants of childbearing potential and at risk for pregnancy must agree to use a highly effective method of contraception throughout the study and for at least 5 days after the last dose of assigned treatment. Female participants who are not of childbearing potential must meet at least one of the following criteria: a) Achieved postmenopausal stat"
nicotine,nicotine,POSITIVE,0.34,0.18,0.5,2010,2018,True,True,,True,,NCT01223404,Nicotinic Modulation of the Default Network,COMPLETED,2018-01-25,2013-09,2013-09,21,NA,Placebo; Nicotine; Mecamylamine,Reaction Time | Signal Detection Performance | Default Network Activity,True,"Inclusion Criteria:

* Age 21 through 50.
* Did not consume cigarettes, cigarillos, cigars, or other tobacco or nicotine-containing products more than 20 times in lifetime, and did not use any nicotine-containing product at all within the last two years.
* Normal or corrected to normal vision (at least 20/80).

Exclusion Criteria:

* Presence of metal objects in the body, implanted electronic devices, or any other counter indication for MRI.
* Claustrophobia.
* Major psychiatric disorders including mood, anxiety or psychotic disorders.
* Cardiovascular or cerebrovascular disease, such as history of myocardial infarction, heart failure, angina, stroke, severe arrhythmias, or EKG abnormalities.
* Kidney or liver disease.
* Hypertension (resting systolic BP above 140 or diastolic above 85 mm Hg).
* Hypotension (resting systolic BP below 95 or diastolic below 60).
* Use of any prescription or over-the-counter drug other than supplements and birth control.
* History of or current neurological illnesses, such as stroke, seizures, dementia or organic brain syndrome.
* Learning disability, attention deficit disorder, or any other condition that impedes memory and attention.
* Glaucoma, org"
nicotine,nicotine,POSITIVE,0.34,0.18,0.5,2010,2025,True,False,,False,primary outcome is not a cognitive measure; matched only via the registry's term expansion (attention -> concentration),NCT03625986,Does Switching to Nicotine Containing Electronic Cigarettes Reduce Health Risk Markers,COMPLETED,2025-03-27,2024-02-23,2024-01-26,105,NA,Nicotine-Containing Electronic Cigarette; Non-Nicotine Electronic Cigarette,Urinary NNAL Concentration,True,"Inclusion Criteria:

* Age 21 to 70
* Smoke ≥5 cigarettes per day for at least the past 12 months
* Smoke regular, filtered cigarettes or machine-rolled cigarettes with a filter
* Exhaled CO measurement ≥6 ppm at baseline visit
* No serious quit attempt in prior month
* Willing to completely cease cigarette consumption and switch to an e-cig
* Willing and able to attend regular visits over a 7-week period
* Able to read and write in English
* Able to understand and consent to study procedures

Exclusion Criteria:

* Unstable or significant medical condition such as COPD, kidney disease, or liver disease in the past 12 months
* Severe immune system disorders
* Women who are pregnant, trying to become pregnant, or nursing
* Use of any non-cigarette nicotine delivery product in the past 7 days
* Use of an e-cig for 5 or more days in the past 28 days or any use in the past 7 days
* Uncontrolled mental illness or substance abuse or inpatient treatment for these conditions in the past 6 months
* History of a seizure disorder or had a seizure in the past 12 months
* Currently or have ever taken medications prescribed to prevent seizures (such as Carbamazepine or Phenobarbital). Using seiz"
nicotine,nicotine,POSITIVE,0.34,0.18,0.5,2010,2019,True,False,,False,primary outcome is not a cognitive measure; matched only via the registry's term expansion (attention -> concentration),NCT03543137,To Assess the Bioequivalence of the 4mg Prototype Mini Nicotine Lozenge to the Reference Product (Nicorette) in Healthy Smokers,COMPLETED,2019-12-04,2018-11-12,2018-11-12,37,PHASE1,Nicotine Prototype Mini lozenge; Nicorette Mini Lozenge,Assessment of Bioequivalence of Prototype Mini Lozenges With Nicorette Mini Lozenge by Measuring Area Under the Plasma Concentration Versus Time Curve From Time Zero to Time t (AUC [0-t]) | Assessment of Bioequivalence of Prototype Mini Lozenges With Nicorette Mini Lozenge by Measuring Area Under the Plasma Concentration Versus Time Curve Calculated From Time Zero to Infinity (AUC [(0-inf]) | Assessment of Bioequivalence of Prototype Mini Lozenges With Nicorette Mini Lozenge by Measuring Maximum Observed Plasma Nicotine Concentration (Cmax),True,"Inclusion Criteria:

* Evidence of a personally signed and dated informed consent document indicating that the participant has been informed of all pertinent aspects of the study before any assessment is performed.
* Participants who are willing and able to comply with scheduled visits, treatment plan, laboratory tests, and other study procedures.
* Healthy participants which is defined as in general good physical health, as judged by the investigator and no clinically relevant abnormalities identified by a detailed medical history, full physical examination, including blood pressure, respiratory rate, oral body temperature and pulse rate measurement, 12-lead ECG or clinical laboratory tests.
* Body Mass Index (BMI) of 19 to 27 Kilogram per meter square (kg/m2), inclusive; and a total body weight \>50 kg (110 pounds \[lbs\]).
* Female participants of childbearing potential and at risk for pregnancy must agree to use a highly effective method of contraception throughout the study and for at least 5 days after the last dose of assigned treatment. Female participants who are not of childbearing potential must meet at least one of the following criteria: a) Achieved postmenopausal stat"
nicotine,nicotine,POSITIVE,0.34,0.18,0.5,2010,2025,True,False,,False,primary outcome is not a cognitive measure; matched only via the registry's term expansion (attention -> concentration),NCT04231539,"Pharmacokinetics, Subjective Effects, and Abuse Liability of Nicotine Salt-Based Vaping Products With Tobacco or Unflavored E-liquids, SALTVAPE Study",COMPLETED,2025-10-31,2024-07-10,2024-07-10,15,NA,Nicotine; Vaporizer Device; Salt-HIgh Nicotine Unflavored (Product B); Free-Low Nicotine Tobacco Flavored (Product C); Salt-High Nicotine Tobacco Flavored (Product D),Maximum Concentration of Nicotine in Plasma (Cmax) | Area Under the Concentration-time Curve (AUC) | Time to Maximum Concentration,True,"Inclusion Criteria:

* Willingness to abstain from using ENDS product for 8-10 hours (overnight abstinence) prior to study visits
* Current daily ENDS user as determined by

  * Has used ENDS product every day for the past 6 months (by history)
  * Has used ENDS product or e-liquid containing nicotine (by history)
* Participant or legal representative must understand the investigational nature of this study and sign and Independent Ethics Committee/Institutional Review Board approved written informed consent form prior to receiving any study related procedure

Exclusion Criteria:

* Smoked cigarettes in the past 7 days
* Currently smokes \>= 5 cigarettes per month
* Unstable medical conditions (such as unstable heart disease, uncontrolled hypertension, thyroid disease, diabetes, renal or liver impairment, or glaucoma) or psychiatric condition (such as current major depression, history of schizophrenia or bipolar disorder) or current regular use of psychiatric medications (such as major tranquilizers and antidepressants)
* History of serious side effects from nicotine or from any nicotine replacement therapies
* Uncontrolled intercurrent illness including, but not limited to, ongoin"
nicotine,nicotine,POSITIVE,0.34,0.18,0.5,2010,2016,True,False,,False,primary outcome is not a cognitive measure; matched only via the registry's term expansion (attention -> concentration),NCT02032212,A Bioavailability Study of Nicotine Delivered by an Electronic Vapour Product,COMPLETED,2016-05-02,2015-12,2014-05,12,NA,EVP unflavoured; EVP flavoured; Nicotine inhalator; Conventional cigarette,Nicotine Plasma Concentration | Area Under the Concentration-time Curve for Plasma Nicotine (AUCt),True,"Inclusion Criteria:

* BMI of 18-35kg/m2
* Subjects must be established smokers
* Subjects must have smoked five to 30 cigarettes per day for at least one year

Exclusion Criteria:

* Subjects who have used nicotine replacement therapy within 14 days of the screening
* Subjects who have donated blood within 12 months preceding study
* Subjects with relevant illness history
* Subjects positive for hepatitis or HIV
* Subjects with history of drug or alcohol abuse
* Subjects with lung function test or vital signs considered unsuitable
* Subjects who are trying to stop smoking"
nicotine,nicotine,POSITIVE,0.34,0.18,0.5,2010,2017,True,True,Schizophrenia,False,,NCT00383747,The Effects of Nicotine on Cognition in Schizophrenia,COMPLETED,2017-04-28,2009-01,2009-01,60,PHASE4,transdermal nicotine patch; Transdermal Nicotine Patch,Effects of Nicotine Patch Compared With Placebo in Non- Smokers With Schizophrenia and Control Groups on Attention Measured by the Continuous Performance Test Identical Pairs Version,True,"Inclusion Criteria:

Patients:

* DSM IV diagnosis of schizophrenia,
* age 18 - 60 inclusive,
* able to provide informed consent,
* treated with antipsychotic medications at a stable dose for at least 4 weeks,
* not treated with an investigational medication in the past 30 days,
* WRAT-3 IQ raw score greater than or equal to 35,
* non smokers for more than 3 months\*,
* normal or corrected to normal vision.

Non Smoking defined by:

1. Self report of not smoking a single cigarette in the past 3 months.
2. Salivary Cotinine level \< 30 ng/ml at screening and on the day of testing
3. Expired air CO \< 9ppm on the day of the testing

Inclusion Criteria:

Control Group:

* Age 18 - 60 inclusive,
* able to provide informed consent,
* not treated with an investigational medication in the past 30 days,
* WRAT-3 IQ raw score greater than or equal to 35,
* non smokers for more than 3 months\*,
* normal or corrected to normal vision,
* Non Smoking as defined above.

Exclusion Criteria:

Patients:

* Use of any nicotine containing product in the past 3 months by self report,
* use of cholinesterase inhibitors such as galantamine in the past 3 months,
* untreated ischaemic heart disease,
* unc"
nicotine,nicotine,POSITIVE,0.34,0.18,0.5,2010,2022,True,False,,False,primary outcome is not a cognitive measure; matched only via the registry's term expansion (attention -> concentration),NCT03861078,The Effect of Electronic Cigarette Liquid Characteristics in Smokers.,COMPLETED,2022-12-23,2021-12-13,2021-12-13,22,NA,"Own Brand Cigarette; ECIG 15 mg nicotine, sweetened; ECIG 15 mg nicotine, unsweet; ECIG 0 mg nicotine, sweetened; ECIG 0 mg nicotine, unsweet",Plasma Nicotine Concentration | Progressive Ratio Task - Breakpoint | Progressive Ratio Task - Number of Puffs | Progressive Ratio Task - Latency,True,"Inclusion Criteria-- Participants must be:

* Healthy (determined by self-report)
* Between the ages of 21-55 years old
* Current cigarette smokers
* Wiling to provide informed consent
* Able to attend the lab session and abstain from tobacco/nicotine products as required
* Agree to use designated products according to the study protocol

Exclusion Criteria:

* Women if they are breast-feeding or test positive for pregnancy (by urinalysis) at screening.
* Individuals who weigh less than 110 pounds.

Some study details about the eligibility criteria are purposely omitted at this time to preserve scientific integrity. Full details will be posted at the conclusion of the study."
nicotine,nicotine,POSITIVE,0.34,0.18,0.5,2010,2024,True,False,,False,primary outcome is not a cognitive measure; matched only via the registry's term expansion (attention -> concentration),NCT05024747,"A Bioequivalence Study of 21 Milligram (mg) Nicotine Transdermal Patches (NicoDerm CQ, GlaxoSmithKline [GSK] Dungarvan) Compared to the Current Marketed 21 mg Nicotine Transdermal Patches (NicoDerm CQ, Alza) in Healthy Adult Smokers",COMPLETED,2024-03-21,2021-10-25,2021-10-25,22,PHASE1,NicoDerm CQ patch (GSK Dungarvan); NicoDerm CQ (Alza),"Maximum Observed Plasma Nicotine Concentration (Cmax) of NicoDerm CQ Dungarvan (Test) Compared to NicoDerm CQ, Alza (Reference) | Area Under the Plasma Concentration Versus Time Curve From Time Zero to Time t (AUC [0-t]) of NicoDerm CQ Dungarvan (Test) Compared to NicoDerm CQ, Alza (Reference) | Area Under the Plasma Concentration Versus Time Curve Calculated From Time Zero to Infinity (AUC [(0-inf]) of NicoDerm CQ Dungarvan (Test) Compared to NicoDerm CQ, Alza (Reference)",True,"Inclusion Criteria:

* Participant provision of a signed and dated informed consent document indicating that the participant has been informed of all pertinent aspects of the study before any assessment is performed.
* Participant is willing and able to comply with scheduled visits, treatment plan, laboratory tests, and other study procedures.
* A participant in good general and mental health with, in the opinion of the investigator or medically qualified designee, as determined by medical evaluation, including a detailed medical history, full physical examination, including blood pressure and pulse rate measurement, 12-lead Electrocardiogram (ECG) or clinical laboratory tests.
* Body Mass Index (BMI) of 19 to 27 kilogram/meter Squared (kg/m\^2); and a total body weight \>50 kg (110 Pound-Mass \[lbs\]).
* Any female participant of childbearing potential and at risk for pregnancy must agree to use a highly effective method of contraception throughout the study and for at least 5 days after the last dose of assigned treatment. Female participant who are not of childbearing potential must meet requirements of protocol.
* Participants admits to having smoked more than 10 cigarettes per"
nicotine,nicotine,POSITIVE,0.34,0.18,0.5,2010,2018,True,True,,True,,NCT02420327,Low-Dose Galantamine to Potentiate the Attention-Enhancing Effects of Low-Dose Nicotine,COMPLETED,2018-08-17,2017-03,2017-03,43,NA,Placebo patch & placebo capsule; Placebo patch & galantamine capsule; Nicotine patch & placebo capsule; Nicotine patch and galantamine capsule,Spatial Attentional Resource Allocation Task Predictive Trials Reaction Time | Rapid Visual Information Processing Task Hit Rate | Change Detection Task Accuracy | Spatial Attentional Resource Allocation Task (SARAT) Non-predictive Trial Reaction Time | Rapid Visual Information Processing Task Reaction Time | Change Detection Task Reaction Time,True,"Inclusion Criteria:

* Aged 21 to 55 years.
* No exposure to any nicotine-containing product in the last year.
* Smoked no more that 40 cigarettes, cigars or cigarillos in lifetime.
* Normal or corrected to normal vision (at least 20/80).
* Body weight 110-220 lbs.

Exclusion Criteria:

* Pregnant or breast-feeding.
* Drug or alcohol abuse or dependence currently or in the last 2 years.
* DSM Axis I mood, anxiety or psychotic disorder.
* Cardiovascular or cerebrovascular disease, such as history of myocardial infarction and ischemia, heart failure, angina, stroke, severe arrhythmias, or EKG abnormalities (Wolf-Parkinson-White syndrome, Complete left bundle branch block, PR interval \<120 ms or \>200 ms, Prolonged QT interval (corrected) \>500 ms, Cardiac arrhythmias as defined by PACs \>3 per min or PVCs \>1 per min).
* Uncontrolled hypertension (resting systolic BP above 140 or diastolic above 90 mm Hg).
* Hypotension (resting systolic BP below 90 or diastolic below 60).
* Significant kidney or liver impairment.
* Moderate to severe asthma.
* Obstructive pulmonary disease.
* Type I or II diabetes.
* Use of any centrally active medications; any peripherally acting cholinergic medic"
